video_id,title,channel_name,published_at,publish_year,publish_month,days_since_publish,duration,views,likes,comments,views_per_day,is_viral,language_code,language_name,region_fetched,category_id,fetched_at
iWOoJqfbcss,চোখে শান্তি লাগে আমার | Chokhe Shanti Lage Amar | Sathi Khan | Pagol Sujon | Bangla Folk Song 2023,Sathi Khan,2023-11-23,2023,11,864,PT4M34S,36674096,170273.0,3788.0,42446.87,0,bn,Bengali,search,10,2026-04-05 12:41:53
WY7mogD-o3I,Swami (स्वामी) Official Music Video | Brahmaa | Avdhoot Gandhi | Narhar | Bhairava Films,Bhairava Films,2025-01-16,2025,1,444,PT5M9S,47659274,236913.0,7062.0,107340.71,1,en,English,search,10,2026-04-05 12:41:53
T9fyyPONAsk,Şimdi Uzaklardasın,Music Anatolian Psychedelic - Topic,2026-03-24,2026,3,12,PT5M5S,519962,1661.0,0.0,43330.17,0,tr,Turkish,TR,10,2026-04-05 12:41:53
spbagny8OjM,UWAIE - Kapo (Video Oficial),Kapo,2024-08-16,2024,8,597,PT2M52S,402958504,1135934.0,15694.0,674972.37,1,es,Spanish,search,10,2026-04-05 12:41:53
5vppJrWii4k,Talıb Tale & Zeynəb Həsəni - Səbr Elə (Akustik),Talıb Tale,2020-04-07,2020,4,2189,PT3M49S,286897469,810185.0,40714.0,131063.26,1,az,az,search,10,2026-04-05 12:41:53
j61QtWB1zj0,Kamin,EMIN - Topic,2021-06-30,2021,6,1740,PT3M8S,89889810,1251820.0,29349.0,51660.81,0,en,English,search,10,2026-04-05 12:41:53
rY2P7lHolMw,"Billboard Pop Songs 2025 Playlist ✨Ed Sheeran, The Weeknd, Bruno Mars, Rihanna, Sia, Adele, Dua Lipa",Top Song 2025,2025-04-11,2025,4,359,PT3H29M29S,11006775,32840.0,1422.0,30659.54,0,en,English,search,10,2026-04-05 12:41:53
HsYM-g9VOAk,All Top 50 Viral Funk/Phonk Songs of 2025 You NEED to Hear | Songs you probably Don't Know The Name,Maxeven,2025-07-10,2025,7,269,PT6M59S,8141938,62074.0,1543.0,30267.43,0,en,English,search,10,2026-04-05 12:41:53
2S24-y0Ij3Y,BLACKPINK - 'Kill This Love' M/V,BLACKPINK,2019-04-04,2019,4,2557,PT3M14S,2199099237,26544375.0,2502885.0,860030.99,1,ko,Korean,search,10,2026-04-05 12:41:53
0v5eHPfy5Lk,"Barbaad Song | Saiyaara | Ahaan Panday, Aneet Padda | The Rish | Jubin Nautiyal",YRF,2025-06-10,2025,6,299,PT3M45S,199827301,1171947.0,25798.0,668318.73,1,en-GB,en-GB,search,10,2026-04-05 12:41:53
_-B03kUel1o,Papaoutai (Afro Soul),mikeeysmind - Topic,2026-02-11,2026,2,52,PT4M41S,26347640,397305.0,12325.0,506685.38,1,en,English,search,10,2026-04-05 12:41:53
RKb9WiYcfLM,"MARIA MARIAH VOCÊ NÃO SAI DA MINHA CABEÇA (Clipe Oficial) MC Meno Dani, Silva MC, JC no Beat e DJ F7",Funk 24por48,2024-01-01,2024,1,824,PT2M10S,140946610,796133.0,11389.0,171051.71,1,pt-PT,pt-PT,search,10,2026-04-05 12:41:53
QdpchAJjeek,"Afro Pop instrumental ""My Love"" (Love Afrobeat Instru 2024) Prod. By Tizo Touchz (SOLD)",Tizo Touchz,2024-02-19,2024,2,775,PT2M53S,6322,129.0,28.0,8.16,0,en,English,search,10,2026-04-05 12:41:53
mwFGCLIJJ7k,KGF: Gali Gali 8K Video Song | Neha Kakkar | Mouni Roy | Tanishk Bagchi | Rashmi Virag | T-Series,T-Series,2025-10-20,2025,10,167,PT2M53S,18513464,65164.0,952.0,110859.07,1,en,English,search,10,2026-04-05 12:41:53
n_FCrCQ6-bA,295 (Official Audio) | Sidhu Moose Wala | The Kidd | Moosetape,Sidhu Moose Wala,2021-07-14,2021,7,1726,PT4M33S,811281280,12161564.0,1598023.0,470035.5,1,en,English,search,10,2026-04-05 12:41:53
R8I3FOX7aZY,Sherine - Kalam Eineh | شيرين - كلام عينيه,Sherine,2018-10-24,2018,10,2719,PT3M58S,146935197,1074387.0,25834.0,54040.16,0,ar,Arabic,search,10,2026-04-05 12:41:53
yCo5JgxAT8M,top 5 most popular Arabic songs in 2025🤩 | habeebi | ya lili | Jalebi baby | #shorts​,Samir Insann,2025-09-10,2025,9,207,PT44S,6361425,,402.0,30731.52,0,en,English,search,10,2026-04-05 12:41:53
dX7Le3gO3Rg,RU NỬA VẦNG TRĂNG - GIỌNG CA DỊU DÀNG NGHE RẤT CUỐN ► Trúc Linh Bolero (Official MV 4K),Trúc Linh Bolero,2026-03-23,2026,3,13,PT5M40S,897170,3201.0,55.0,69013.08,0,vi,Vietnamese,VN,10,2026-04-05 12:41:53
VCXgLoKE7bg,ಎಷ್ಟು ಹೇಳಿದರೂ ಕೇಳಲಿಲ್ಲ ಗೆಳತಿ ಗೆಳತಿ | Yesta Helidru Kelalila Gelati Gelati | Balu Belagundi |Janapada,Balu Belagundi Singer,2025-10-06,2025,10,181,PT5M48S,29953134,182365.0,3776.0,165486.93,1,en-IN,en-IN,search,10,2026-04-05 12:41:53
f9IKIbcgbFg,#shorts Antra Singh Priyanka 5 बेर चुम्मा#tiktok #viral #antra_singh_priyanka_bhojpuri_hot_video,P.K.Y music,2022-09-03,2022,9,1310,PT11S,15069238,507781.0,935.0,11503.24,0,en,English,search,10,2026-04-05 12:41:54
xGS8Sjp0o2w,"Óscar Maydon, Gabito Ballesteros & Chino Pacas - Elvira (LYRICS)",Pop Culture,2026-04-01,2026,4,3,PT3M17S,161437,364.0,0.0,53812.33,0,es,Spanish,MX,10,2026-04-05 12:41:54
SMxsYk1hzgU,El Watar El Hassas,Sherine - Topic,2019-09-17,2019,9,2391,PT4M22S,54026336,383758.0,3002.0,22595.71,0,en,English,search,10,2026-04-05 12:41:54
ueHIH4IWeo8,Shaky Shaky | Anukriti x Krish x Kishore x Rhythm x Ansha x Richa x KD Viral Song,KD Viral Song,2025-09-09,2025,9,208,PT55S,41433675,530570.0,8608.0,199200.36,1,en,English,search,10,2026-04-05 12:41:54
0jseNNjcf8I,백만송이는 아니지만 Hold My Love,Wonpil (DAY6) - Topic,2026-03-30,2026,3,6,PT3M17S,307856,3047.0,0.0,51309.33,0,ko,Korean,KR,10,2026-04-05 12:41:54
l-i8YFGoMPQ,"Panchhi Bole | Romantic Song | Baahubali - The Beginning | Prabhas, Tamannaah",Dharma Productions,2015-07-28,2015,7,3904,PT3M,358539250,1729609.0,351.0,91838.95,0,en,English,search,10,2026-04-05 12:41:54
jW9nmHL6iJg,New Tiktok Mashup 2026 Philippines Party Music Viral Dance Trends March 30th,Kuya Magik,2026-03-29,2026,3,6,PT6M35S,686857,2051.0,51.0,114476.17,1,en,English,PH,10,2026-04-05 12:41:54
xYttj7o2Mn4,Habibi Drip,Dabzee - Topic,2024-07-20,2024,7,624,PT3M22S,16224125,115438.0,0.0,26000.2,0,en,English,search,10,2026-04-05 12:41:54
WPrLk7Teucg,Timi Bhanda Ma Pahila Maraula ||NEPALI SUPERHIT SONGS MASHUP COVER || DILIP TAMANG X DIPAK TAMANG,THE GHISING [OFFICIAL],2021-05-24,2021,5,1777,PT11M22S,20443400,196848.0,5772.0,11504.45,0,en,English,search,10,2026-04-05 12:41:54
rNpaYXAO2K4,#Namrita Malla🌡️थर्मामीटर Tharmamiter | Latest Bhojpuri Song 2025 | Shilpi Raj | T-Series,T-Series Hamaar Bhojpuri,2025-05-15,2025,5,325,PT3M20S,66522826,495686.0,19280.0,204685.62,1,en,English,search,10,2026-04-05 12:41:54
qznaQ8dJC2s,CHAND MAMA - চাঁদ মামা | BORBAAD | SHAKIB KHAN | PRITOM HASAN | NUSRAT JAHAN | DOLA RAHMAN,Pritom Hasan,2025-03-28,2025,3,372,PT3M4S,88850371,312152.0,13921.0,238845.08,1,en,English,search,10,2026-04-05 12:41:54
zcw8NlHljF4,BLESSD ❌ OVY ON THE DRUMS - MÍRAME 💜👀 (VIDEO OFICIAL),SIEMPRE BLESSD 💙,2024-04-17,2024,4,717,PT2M41S,391414635,965330.0,16935.0,545906.05,1,es,Spanish,search,10,2026-04-05 12:41:54
tgB5Iw6rVvM,Una Noche en Medellín,Cris Mj - Topic,2022-06-21,2022,6,1383,PT2M34S,187565500,1515721.0,10500.0,135622.2,1,es,Spanish,search,10,2026-04-05 12:41:54
hnMGsGGmYKE,Ta Ki Seni Görene Kadar,Anatolian Land - Topic,2026-03-29,2026,3,7,PT3M27S,366398,3385.0,23.0,52342.57,0,tr,Turkish,TR,10,2026-04-05 12:41:54
uOmDEK9i1nI,Sakhiyeee Video Song | Thrissur Pooram Movie | Jayasurya | Ratheesh Vega | Haricharan| December 20th,Friday Music Company,2019-12-04,2019,12,2314,PT5M24S,36949923,379108.0,8826.0,15967.99,0,en,English,search,10,2026-04-05 12:41:54
KNexS61fjus,LE SSERAFIM (르세라핌) 'Smart' OFFICIAL MV,HYBE LABELS,2024-03-05,2024,3,760,PT3M14S,183864732,1817226.0,34165.0,241927.28,1,ko,Korean,search,10,2026-04-05 12:41:54
Uz6aKn9WSmI,"ELA VEM, BROTA NO MEU SETOR - MC RODRIGO DO CN ( DJ ZIGAO E FP DO TREM BALA )",FP do Trem Bala,2024-07-10,2024,7,633,PT2M48S,40752510,229795.0,2947.0,64379.95,0,pt-PT,pt-PT,search,10,2026-04-05 12:41:54
1gRZjdf02bo,Tanpo Hubungan - La Tasya Feat. Rei Vania (HIPHOP DANGDUT VERSION),La Tasya,2026-03-30,2026,3,6,PT4M57S,198401,3065.0,260.0,33066.83,0,jv,jv,ID,10,2026-04-05 12:41:54
a2kSzfzDu8Y,Hislerim,Serhat Durmus - Topic,2019-08-07,2019,8,2433,PT3M35S,147100891,1669668.0,10333.0,60460.7,0,en,English,search,10,2026-04-05 12:41:54
IqyA38QxKjg,Inta Eyh,Nancy Ajram - Topic,2015-09-11,2015,9,3858,PT5M5S,15278441,117303.0,686.0,3960.2,0,en,English,search,10,2026-04-05 12:41:54
AAbokV76tkU,BIGBANG - FANTASTIC BABY M/V,BIGBANG,2012-03-06,2012,3,5142,PT4M,661432896,5369468.0,421713.0,128633.39,1,en,English,search,10,2026-04-05 12:41:54
0IQQsew51YY,"ARIA VEGA, Ryan Castro - CHÉVERE || Vídeo con letra",Hot Gravity,2026-03-24,2026,3,11,PT3M41S,1116168,3677.0,33.0,101469.82,1,es,Spanish,CO,10,2026-04-05 12:41:54
YtLrIab1Y4k,"""Whistle Podu"" with Thalapathy's Movie Titles 🎤💥 GOAT Movie Fever! 🤫",Sanathan Shree Krishnan,2024-09-04,2024,9,578,PT46S,5028396,212264.0,1795.0,8699.65,0,en,English,search,10,2026-04-05 12:41:54
oxrSJ_vGQHI,PREM KARI KARI | ପ୍ରେମ କରି କରି | NEW KORAPUTIA CHRISTIAN SONG | BY JEMMY BAGH 2024,Ruth Rani Bagh Official,2024-09-03,2024,9,579,PT6M57S,3920754,33454.0,1406.0,6771.6,0,en,English,search,10,2026-04-05 12:41:54
a7V9bUwc4cU,Kotha Koiyo Na | Coke Studio Bangla | Season 2 | Shiblu Mredha X Aleya Begum X Emon Chowdhury,Coke Studio Bangla,2023-06-10,2023,6,1029,PT5M47S,108010758,801926.0,33268.0,104966.72,1,en,English,search,10,2026-04-05 12:41:54
iNc1zC_p9RY,How Latino Are You?! Can you get 200% on these Latin songs 📈,DJ Precise,2022-03-24,2022,3,1473,PT51S,4565878,219039.0,3460.0,3099.71,0,en,English,search,10,2026-04-05 12:41:54
DB3D-mtWR0c,"Ranjha - Ranjha - Lyric Video | Shershaah | Sidharth, Kiara | B Praak | Jasleen Royal | Anvita Dutt",SonyMusicIndiaVEVO,2021-08-31,2021,8,1678,PT3M51S,247209874,1535336.0,15374.0,147324.12,1,en,English,search,10,2026-04-05 12:41:54
X2G8YEYKI38,"Adhi Dha Surprisu Video | Robinhood | Nithiin, Sreeleela, Ketika Sharma, Venky Kudumula, GV Prakash",Sony Music South,2025-04-07,2025,4,362,PT4M4S,43857456,176483.0,2495.0,121153.19,1,en-GB,en-GB,search,10,2026-04-05 12:41:54
cPjvIF3yLEY,Lynda - Fini d'espérer  (Clip officiel),LYNDA,2022-12-02,2022,12,1219,PT3M29S,85391120,475213.0,12877.0,70050.14,0,fr,French,search,10,2026-04-05 12:41:54
LGOHa7QdPNY,I AM,Omah Lay - Topic,2026-04-02,2026,4,2,PT3M13S,106980,3418.0,312.0,53490.0,0,en,English,NG,10,2026-04-05 12:41:54
U23uqczIS_A,തുളസിക്കതിർ നുള്ളിയെടുത്ത് | Thulasikathir Nulliyeduthu | Swetha Ashok | Sargam Musics,Sargam Musics,2020-06-24,2020,6,2110,PT9M16S,33122508,199492.0,9626.0,15697.87,0,en,English,search,10,2026-04-05 12:41:54
6s7Tw9ieMCY,New Arabic Remix Song 2024 |Arabic Song | Slowed Reverb| Bass Boosted |Arabic Remix Song,S_Malik9T,2025-01-20,2025,1,439,PT8S,9277463,15980.0,185.0,21133.17,0,en-GB,en-GB,search,10,2026-04-05 12:41:54
LkHZKATnzD8,Ya Tabtab Wa Dallaa,Nancy Ajram - Topic,2018-03-01,2018,3,2956,PT4M23S,33793706,238666.0,1218.0,11432.24,0,en,English,search,10,2026-04-05 12:41:54
XeGdY8RoxQY,"Chamkeela Angeelesi - Video Song | Dasara | Nani,Keerthy Suresh | Santhosh Narayanan| Srikanth Odela",Saregama Telugu,2023-04-26,2023,4,1075,PT3M31S,149341769,375055.0,4346.0,138922.58,1,en,English,search,10,2026-04-05 12:41:54
2BV2eP0uGzc,"Sad Song | কেউ বোঝেনা মনের ব্যাথা | Kew Bojhena Moner |  Mim | Eva  | Mithila, Minna | New Song 2025",Bangla Music 007,2025-07-01,2025,7,278,PT5M1S,24712016,124129.0,6379.0,88892.14,0,bn,Bengali,search,10,2026-04-05 12:41:54
B6_VsM4szUY,France Mpundu - Nzagutegereza (Official Music Video),France Mpundu,2024-03-06,2024,3,760,PT3M48S,4870779,35778.0,2094.0,6408.92,0,en,English,search,10,2026-04-05 12:41:54
5UYNboQuKPg,Flute music😍|who is the Best?| Teacher VS Student |#viral #trending #song #flute,Learn With Introvert ,2023-07-09,2023,7,1001,PT41S,13706541,707076.0,14811.0,13692.85,0,en-IN,en-IN,search,10,2026-04-05 12:41:54
MzUSzMovGtQ,Top 5 most popular songs in best friend 😍🎧| The villagers-yaari hai | #explore​​ #song​​ #ytshorts​​,Kundan Sahu,2025-07-07,2025,7,271,PT39S,27101417,,4331.0,100005.23,1,en,English,search,10,2026-04-05 12:41:54
e25zWcOnrh8,Saaj Hyo Tuza Song - Movie Baban | Marathi Songs 2018 | Onkarswaroop | Bhaurao Nanasaheb Karhade,Everest Marathi,2018-10-20,2018,10,2724,PT5M10S,112395519,359952.0,10091.0,41261.2,0,mr,Marathi,search,10,2026-04-05 12:41:54
5r5UePOgMQU,"KAROL G, Feid, DFZM ft. Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd - +57",KarolGVEVO,2024-11-08,2024,11,513,PT5M2S,337036738,1727521.0,164104.0,656991.69,1,es,Spanish,search,10,2026-04-05 12:41:54
756YdTT-WJ0,"Goon Flavour, Master KG & Eemoh - Ngishutheni (Official Music Video)",Wanitwa Mos Entertainment,2025-05-09,2025,5,330,PT3M59S,121703781,533603.0,22329.0,368799.34,1,en,English,search,10,2026-04-05 12:41:54
hLOheGDwD_0,Ella Langley - Choosin' Texas (Official Lyric Video),EllaLangleyVEVO,2025-10-17,2025,10,170,PT3M52S,43902398,289398.0,12085.0,258249.4,1,en,English,search,10,2026-04-05 12:41:54
oM6kM_J9xgE,ST MAN FT. YUNG 22 & BIG NORZZA - INDIA  | OFFICIAL MUSIC VIDEO | 2024,ST MAN ,2024-06-28,2024,6,645,PT4M36S,31414990,442019.0,13218.0,48705.41,0,en-US,en-US,search,10,2026-04-05 12:41:54
zU4RqJ8jfBc,"Brandon Lake, Lainey Wilson - The Jesus I Know Now (Lyric Video)",BrandonLakeVEVO,2026-04-03,2026,4,2,PT3M43S,233174,13892.0,735.0,116587.0,1,en,English,US,10,2026-04-05 12:41:54
_i7cQQGm2YY,"Kotta Kottaga Unnadi Full Video Song | Coolie No 1 Telugu Movie | Venkatesh, Tabu | SP Music Shorts",Suresh Productions Music Shorts,2024-02-10,2024,2,785,PT4M17S,29773321,37433.0,1086.0,37927.8,0,en-IN,en-IN,search,10,2026-04-05 12:41:54
_JOnM3jmY0o,Ozuna - Te Vas (Video Oficial),Ozuna,2016-05-27,2016,5,3599,PT3M17S,1017775644,4236938.0,167118.0,282794.01,1,es,Spanish,search,10,2026-04-05 12:41:54
qcbMISqPSRc,Are you ok? Do you need a hug? Sad songs for you to feel safe and loved,Arc North Daily,2023-02-15,2023,2,1145,PT1M,11272253,437289.0,17333.0,9844.76,0,en,English,search,10,2026-04-05 12:41:54
nltgPHE4jB8,TAKKAN PISAH - Difarina Indra Adella - OM ADELLA,Henny Adella,2026-04-03,2026,4,2,PT7M24S,162210,3013.0,757.0,81105.0,0,id,Indonesian,ID,10,2026-04-05 12:41:54
TipUsYlMPsY,Famous Pluto - Jembe (Feat Mavo) [Visualizer],Famous Pluto,2026-03-13,2026,3,22,PT2M18S,879065,7563.0,216.0,39957.5,0,en,English,NG,10,2026-04-05 12:41:54
ACewQCnrSmY,#MarathiSong Ladachi Tara (Lyrical Video) Marathi DJ Song | Sandhya Praniket | Ankita Raut,Sandhya Praniket Musical,2023-11-21,2023,11,866,PT4M,22437334,38673.0,246.0,25909.16,0,mr,Marathi,search,10,2026-04-05 12:41:54
LjxulQ1bEWg,Tyga - Taste (Official Video) ft. Offset,TygaVEVO,2018-05-16,2018,5,2881,PT3M53S,1767510053,8487008.0,142056.0,613505.75,1,en,English,search,10,2026-04-05 12:41:54
gqnhpN3SdEA,Marathi Love Mashup | Marathi Romantic Song | Marathi Chillout Remix  | मराठी प्रेम गीत | Part 1,Ashu Lofi,2024-12-31,2024,12,460,PT37M23S,1942237,6208.0,100.0,4222.25,0,en-IN,en-IN,search,10,2026-04-05 12:41:54
8dwrE0OCq40,Kallajodu College Papa Telugu Lyrics | MAD | Kalyan Shankar  | Bheems Ceciroleo | Maa Paata Mee Nota,Maa Paata Mee Nota,2023-10-13,2023,10,905,PT3M44S,363797545,890246.0,12300.0,401986.24,1,en,English,search,10,2026-04-05 12:41:54
IPfJnp1guPc,Khalid - Young Dumb & Broke (Official Video),KhalidVEVO,2017-08-01,2017,8,3168,PT4M8S,1069090528,6829808.0,158913.0,337465.44,1,en,English,search,10,2026-04-05 12:41:54
rh7bpHMRrS4,"Hugo e Guilherme, Maiara e Maraisa - Morena de Goiânia | DVD 062",Hugo e Guilherme,2024-03-22,2024,3,743,PT2M58S,121995953,299939.0,16785.0,164193.75,1,pt-PT,pt-PT,search,10,2026-04-05 12:41:54
FLwBcq8ttVQ,"BM, Rei - APD (VOLVÉ) (Video Oficial)",BM Oficial,2026-04-01,2026,4,4,PT2M6S,142881,3854.0,189.0,35720.25,0,es,Spanish,AR,10,2026-04-05 12:41:54
8MhLnPDVFfA,Bollywood New Hits Songs - Video Jukebox | Hindi Love Songs | New Hindi Songs | Hindi Romantic Songs,Tips Official,2025-05-02,2025,5,337,PT51M24S,7408280,20436.0,310.0,21983.03,0,en,English,search,10,2026-04-05 12:41:54
Fp8msa5uYsc,Justin Bieber - Ghost,JustinBieberVEVO,2021-10-08,2021,10,1640,PT3M33S,490224267,4107432.0,123616.0,298917.24,1,en,English,search,10,2026-04-05 12:41:54
